"Summary.Stats","Value"
"Number of total records","3821"
"Number of unique project electric SAIDs","3818"
"Top 10 zip codes by count","95687,95688,93711,94533,94530,93635,95616,95209,94611,95695"
"Bottom 10 zip codes by count","93245,93292,93301,93420,93436,93444,93453,93610,93618,93625"
"Min work start date","2012-08-20"
"Max work start date","2016-06-08"
"Average work start date","2015-01-24"
"Work start date 10th percentile value","2014-01-20"
"Work start date 20th percentile value","2014-04-14"
"Work start date 30th percentile value","2014-07-09"
"Work start date 40th percentile value","2014-10-16"
"Work start date 50th percentile value","2015-01-26"
"Work start date 60th percentile value","2015-05-05"
"Work start date 70th percentile value","2015-08-12"
"Work start date 80th percentile value","2015-11-16"
"Work start date 90th percentile value","2016-01-29"
"Min work end date","2012-12-03"
"Max work end date","2016-06-13"
"Average work end date","2015-03-07"
"Work end date 10th percentile value","2014-03-06"
"Work end date 20th percentile value","2014-06-04"
"Work end date 30th percentile value","2014-08-29"
"Work end date 40th percentile value","2014-11-19"
"Work end date 50th percentile value","2015-03-05"
"Work end date 60th percentile value","2015-06-16"
"Work end date 70th percentile value","2015-09-28"
"Work end date 80th percentile value","2015-12-17"
"Work end date 90th percentile value","2016-03-07"
